Date:2017-12-03 12:13:54,100 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:13:54,153 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:14:13,350 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:14:13,425 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:14:13,854 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:14:13,954 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:14:29,066 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:14:29,103 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:14:29,580 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:14:29,616 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:14:50,601 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:14:50,702 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:14:51,113 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:14:51,215 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:15:06,995 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:15:07,040 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:15:07,503 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:15:07,540 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:15:29,992 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:15:30,074 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:15:30,519 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:15:30,580 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:16:27,450 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:16:27,511 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:16:27,952 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:16:28,012 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:16:39,849 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:16:39,940 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:16:40,369 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
